cfg,alpha,beta,topology,n_avalanches,mean_avalanche,max_avalanche
alpha0.050_beta0.500_barabasi_run0,0.05,0.5,barabasi,65,3.476923076923077,120
alpha0.050_beta0.500_barabasi_run1,0.05,0.5,barabasi,77,3.3506493506493507,114
alpha0.050_beta0.500_barabasi_run2,0.05,0.5,barabasi,69,3.4057971014492754,117
alpha0.050_beta0.500_barabasi_run3,0.05,0.5,barabasi,80,3.025,118
alpha0.050_beta0.500_barabasi_run4,0.05,0.5,barabasi,84,3.0833333333333335,120
alpha0.050_beta0.500_barabasi_run5,0.05,0.5,barabasi,79,3.2278481012658227,116
alpha0.050_beta0.500_barabasi_run6,0.05,0.5,barabasi,76,3.0921052631578947,117
alpha0.050_beta0.500_barabasi_run7,0.05,0.5,barabasi,68,3.6029411764705883,119
alpha0.050_beta0.500_barabasi_run8,0.05,0.5,barabasi,75,3.1333333333333333,119
alpha0.050_beta0.500_barabasi_run9,0.05,0.5,barabasi,64,3.59375,120
alpha0.050_beta0.500_watts_run0,0.05,0.5,watts,73,3.0821917808219177,120
alpha0.050_beta0.500_watts_run1,0.05,0.5,watts,85,3.0588235294117645,120
alpha0.050_beta0.500_watts_run2,0.05,0.5,watts,79,3.0253164556962027,120
alpha0.050_beta0.500_watts_run3,0.05,0.5,watts,80,3.0,120
alpha0.050_beta0.500_watts_run4,0.05,0.5,watts,89,2.898876404494382,120
alpha0.050_beta0.500_watts_run5,0.05,0.5,watts,84,3.011904761904762,120
alpha0.050_beta0.500_watts_run6,0.05,0.5,watts,76,3.0789473684210527,120
alpha0.050_beta0.500_watts_run7,0.05,0.5,watts,81,3.0,120
alpha0.050_beta0.500_watts_run8,0.05,0.5,watts,82,2.902439024390244,118
alpha0.050_beta0.500_watts_run9,0.05,0.5,watts,83,2.855421686746988,120
alpha0.050_beta0.900_barabasi_run0,0.05,0.9,barabasi,66,3.378787878787879,118
alpha0.050_beta0.900_barabasi_run1,0.05,0.9,barabasi,83,3.108433734939759,119
alpha0.050_beta0.900_barabasi_run2,0.05,0.9,barabasi,74,3.2162162162162162,120
alpha0.050_beta0.900_barabasi_run3,0.05,0.9,barabasi,77,3.168831168831169,120
alpha0.050_beta0.900_barabasi_run4,0.05,0.9,barabasi,90,2.8555555555555556,120
alpha0.050_beta0.900_barabasi_run5,0.05,0.9,barabasi,85,3.0588235294117645,120
alpha0.050_beta0.900_barabasi_run6,0.05,0.9,barabasi,74,3.189189189189189,119
alpha0.050_beta0.900_barabasi_run7,0.05,0.9,barabasi,79,3.1012658227848102,119
alpha0.050_beta0.900_barabasi_run8,0.05,0.9,barabasi,78,3.0384615384615383,119
alpha0.050_beta0.900_barabasi_run9,0.05,0.9,barabasi,70,3.357142857142857,120
alpha0.050_beta0.900_watts_run0,0.05,0.9,watts,77,2.935064935064935,120
alpha0.050_beta0.900_watts_run1,0.05,0.9,watts,86,3.011627906976744,120
alpha0.050_beta0.900_watts_run2,0.05,0.9,watts,79,3.0126582278481013,120
alpha0.050_beta0.900_watts_run3,0.05,0.9,watts,84,2.857142857142857,120
alpha0.050_beta0.900_watts_run4,0.05,0.9,watts,93,2.774193548387097,120
alpha0.050_beta0.900_watts_run5,0.05,0.9,watts,89,2.9101123595505616,120
alpha0.050_beta0.900_watts_run6,0.05,0.9,watts,76,3.1052631578947367,120
alpha0.050_beta0.900_watts_run7,0.05,0.9,watts,84,2.9404761904761907,120
alpha0.050_beta0.900_watts_run8,0.05,0.9,watts,85,2.823529411764706,120
alpha0.050_beta0.900_watts_run9,0.05,0.9,watts,80,2.9125,119
alpha0.050_beta1.200_barabasi_run0,0.05,1.2,barabasi,70,3.2,120
alpha0.050_beta1.200_barabasi_run1,0.05,1.2,barabasi,83,3.0843373493975905,119
alpha0.050_beta1.200_barabasi_run2,0.05,1.2,barabasi,78,3.076923076923077,120
alpha0.050_beta1.200_barabasi_run3,0.05,1.2,barabasi,80,3.0,120
alpha0.050_beta1.200_barabasi_run4,0.05,1.2,barabasi,90,2.8777777777777778,119
alpha0.050_beta1.200_barabasi_run5,0.05,1.2,barabasi,87,2.9885057471264367,119
alpha0.050_beta1.200_barabasi_run6,0.05,1.2,barabasi,74,3.2027027027027026,120
alpha0.050_beta1.200_barabasi_run7,0.05,1.2,barabasi,86,2.872093023255814,119
alpha0.050_beta1.200_barabasi_run8,0.05,1.2,barabasi,83,2.9036144578313254,119
alpha0.050_beta1.200_barabasi_run9,0.05,1.2,barabasi,80,2.925,118
alpha0.050_beta1.200_watts_run0,0.05,1.2,watts,71,3.1549295774647885,120
alpha0.050_beta1.200_watts_run1,0.05,1.2,watts,88,2.9545454545454546,120
alpha0.050_beta1.200_watts_run2,0.05,1.2,watts,79,3.0,119
alpha0.050_beta1.200_watts_run3,0.05,1.2,watts,87,2.7241379310344827,120
alpha0.050_beta1.200_watts_run4,0.05,1.2,watts,89,2.9213483146067416,120
alpha0.050_beta1.200_watts_run5,0.05,1.2,watts,90,2.8666666666666667,120
alpha0.050_beta1.200_watts_run6,0.05,1.2,watts,74,3.1621621621621623,120
alpha0.050_beta1.200_watts_run7,0.05,1.2,watts,83,2.9397590361445785,120
alpha0.050_beta1.200_watts_run8,0.05,1.2,watts,88,2.727272727272727,120
alpha0.050_beta1.200_watts_run9,0.05,1.2,watts,87,2.735632183908046,120
alpha0.100_beta0.500_barabasi_run0,0.1,0.5,barabasi,71,3.1690140845070425,118
alpha0.100_beta0.500_barabasi_run1,0.1,0.5,barabasi,80,3.2625,120
alpha0.100_beta0.500_barabasi_run2,0.1,0.5,barabasi,79,3.0126582278481013,118
alpha0.100_beta0.500_barabasi_run3,0.1,0.5,barabasi,84,2.869047619047619,119
alpha0.100_beta0.500_barabasi_run4,0.1,0.5,barabasi,85,3.0588235294117645,120
alpha0.100_beta0.500_barabasi_run5,0.1,0.5,barabasi,84,3.0476190476190474,119
alpha0.100_beta0.500_barabasi_run6,0.1,0.5,barabasi,69,3.347826086956522,120
alpha0.100_beta0.500_barabasi_run7,0.1,0.5,barabasi,79,3.088607594936709,119
alpha0.100_beta0.500_barabasi_run8,0.1,0.5,barabasi,79,3.0,118
alpha0.100_beta0.500_barabasi_run9,0.1,0.5,barabasi,82,2.8780487804878048,120
alpha0.100_beta0.500_watts_run0,0.1,0.5,watts,76,2.973684210526316,120
alpha0.100_beta0.500_watts_run1,0.1,0.5,watts,87,2.9885057471264367,120
alpha0.100_beta0.500_watts_run2,0.1,0.5,watts,80,2.9875,120
alpha0.100_beta0.500_watts_run3,0.1,0.5,watts,86,2.802325581395349,120
alpha0.100_beta0.500_watts_run4,0.1,0.5,watts,92,2.8152173913043477,120
alpha0.100_beta0.500_watts_run5,0.1,0.5,watts,84,3.0833333333333335,120
alpha0.100_beta0.500_watts_run6,0.1,0.5,watts,76,3.0921052631578947,120
alpha0.100_beta0.500_watts_run7,0.1,0.5,watts,84,2.9285714285714284,120
alpha0.100_beta0.500_watts_run8,0.1,0.5,watts,85,2.8,120
alpha0.100_beta0.500_watts_run9,0.1,0.5,watts,77,3.0779220779220777,120
alpha0.100_beta0.900_barabasi_run0,0.1,0.9,barabasi,74,2.9864864864864864,118
alpha0.100_beta0.900_barabasi_run1,0.1,0.9,barabasi,82,3.158536585365854,120
alpha0.100_beta0.900_barabasi_run2,0.1,0.9,barabasi,77,3.064935064935065,119
alpha0.100_beta0.900_barabasi_run3,0.1,0.9,barabasi,79,3.0253164556962027,119
alpha0.100_beta0.900_barabasi_run4,0.1,0.9,barabasi,92,2.8152173913043477,119
alpha0.100_beta0.900_barabasi_run5,0.1,0.9,barabasi,91,2.868131868131868,118
alpha0.100_beta0.900_barabasi_run6,0.1,0.9,barabasi,77,3.038961038961039,120
alpha0.100_beta0.900_barabasi_run7,0.1,0.9,barabasi,83,2.963855421686747,120
alpha0.100_beta0.900_barabasi_run8,0.1,0.9,barabasi,83,2.9156626506024095,119
alpha0.100_beta0.900_barabasi_run9,0.1,0.9,barabasi,79,2.9873417721518987,120
alpha0.100_beta0.900_watts_run0,0.1,0.9,watts,72,3.125,120
alpha0.100_beta0.900_watts_run1,0.1,0.9,watts,84,3.0952380952380953,120
alpha0.100_beta0.900_watts_run2,0.1,0.9,watts,82,2.902439024390244,120
alpha0.100_beta0.900_watts_run3,0.1,0.9,watts,89,2.730337078651685,120
alpha0.100_beta0.900_watts_run4,0.1,0.9,watts,89,2.8764044943820224,120
alpha0.100_beta0.900_watts_run5,0.1,0.9,watts,91,2.857142857142857,120
alpha0.100_beta0.900_watts_run6,0.1,0.9,watts,74,3.189189189189189,120
alpha0.100_beta0.900_watts_run7,0.1,0.9,watts,86,2.8372093023255816,120
alpha0.100_beta0.900_watts_run8,0.1,0.9,watts,85,2.776470588235294,120
alpha0.100_beta0.900_watts_run9,0.1,0.9,watts,83,2.855421686746988,120
alpha0.100_beta1.200_barabasi_run0,0.1,1.2,barabasi,74,3.0135135135135136,119
alpha0.100_beta1.200_barabasi_run1,0.1,1.2,barabasi,88,2.9318181818181817,118
alpha0.100_beta1.200_barabasi_run2,0.1,1.2,barabasi,76,3.1710526315789473,120
alpha0.100_beta1.200_barabasi_run3,0.1,1.2,barabasi,87,2.793103448275862,120
alpha0.100_beta1.200_barabasi_run4,0.1,1.2,barabasi,90,2.8777777777777778,119
alpha0.100_beta1.200_barabasi_run5,0.1,1.2,barabasi,88,2.9318181818181817,119
alpha0.100_beta1.200_barabasi_run6,0.1,1.2,barabasi,74,3.1621621621621623,120
alpha0.100_beta1.200_barabasi_run7,0.1,1.2,barabasi,85,2.8941176470588235,120
alpha0.100_beta1.200_barabasi_run8,0.1,1.2,barabasi,87,2.7586206896551726,120
alpha0.100_beta1.200_barabasi_run9,0.1,1.2,barabasi,86,2.755813953488372,120
alpha0.100_beta1.200_watts_run0,0.1,1.2,watts,71,3.183098591549296,120
alpha0.100_beta1.200_watts_run1,0.1,1.2,watts,87,2.9770114942528734,120
alpha0.100_beta1.200_watts_run2,0.1,1.2,watts,79,3.0253164556962027,120
alpha0.100_beta1.200_watts_run3,0.1,1.2,watts,89,2.707865168539326,120
alpha0.100_beta1.200_watts_run4,0.1,1.2,watts,91,2.868131868131868,120
alpha0.100_beta1.200_watts_run5,0.1,1.2,watts,86,3.011627906976744,120
alpha0.100_beta1.200_watts_run6,0.1,1.2,watts,76,3.0657894736842106,120
alpha0.100_beta1.200_watts_run7,0.1,1.2,watts,87,2.8275862068965516,120
alpha0.100_beta1.200_watts_run8,0.1,1.2,watts,86,2.7790697674418605,120
alpha0.100_beta1.200_watts_run9,0.1,1.2,watts,87,2.7241379310344827,120
alpha0.150_beta0.500_barabasi_run0,0.15,0.5,barabasi,75,3.013333333333333,120
alpha0.150_beta0.500_barabasi_run1,0.15,0.5,barabasi,87,2.9655172413793105,120
alpha0.150_beta0.500_barabasi_run2,0.15,0.5,barabasi,77,3.051948051948052,120
alpha0.150_beta0.500_barabasi_run3,0.15,0.5,barabasi,88,2.727272727272727,120
alpha0.150_beta0.500_barabasi_run4,0.15,0.5,barabasi,94,2.765957446808511,120
alpha0.150_beta0.500_barabasi_run5,0.15,0.5,barabasi,86,2.9767441860465116,120
alpha0.150_beta0.500_barabasi_run6,0.15,0.5,barabasi,73,3.191780821917808,119
alpha0.150_beta0.500_barabasi_run7,0.15,0.5,barabasi,85,2.9058823529411764,120
alpha0.150_beta0.500_barabasi_run8,0.15,0.5,barabasi,83,2.891566265060241,120
alpha0.150_beta0.500_barabasi_run9,0.15,0.5,barabasi,81,2.9382716049382718,120
alpha0.150_beta0.500_watts_run0,0.15,0.5,watts,75,3.0,120
alpha0.150_beta0.500_watts_run1,0.15,0.5,watts,89,2.898876404494382,120
alpha0.150_beta0.500_watts_run2,0.15,0.5,watts,80,2.9875,120
alpha0.150_beta0.500_watts_run3,0.15,0.5,watts,86,2.813953488372093,120
alpha0.150_beta0.500_watts_run4,0.15,0.5,watts,95,2.7473684210526317,120
alpha0.150_beta0.500_watts_run5,0.15,0.5,watts,85,3.023529411764706,120
alpha0.150_beta0.500_watts_run6,0.15,0.5,watts,76,3.0921052631578947,120
alpha0.150_beta0.500_watts_run7,0.15,0.5,watts,86,2.8488372093023258,120
alpha0.150_beta0.500_watts_run8,0.15,0.5,watts,86,2.7790697674418605,120
alpha0.150_beta0.500_watts_run9,0.15,0.5,watts,74,3.189189189189189,120
alpha0.150_beta0.900_barabasi_run0,0.15,0.9,barabasi,72,3.125,120
alpha0.150_beta0.900_barabasi_run1,0.15,0.9,barabasi,85,3.0352941176470587,120
alpha0.150_beta0.900_barabasi_run2,0.15,0.9,barabasi,81,2.962962962962963,120
alpha0.150_beta0.900_barabasi_run3,0.15,0.9,barabasi,89,2.730337078651685,120
alpha0.150_beta0.900_barabasi_run4,0.15,0.9,barabasi,90,2.888888888888889,120
alpha0.150_beta0.900_barabasi_run5,0.15,0.9,barabasi,88,2.9545454545454546,120
alpha0.150_beta0.900_barabasi_run6,0.15,0.9,barabasi,75,3.1333333333333333,120
alpha0.150_beta0.900_barabasi_run7,0.15,0.9,barabasi,86,2.8372093023255816,120
alpha0.150_beta0.900_barabasi_run8,0.15,0.9,barabasi,85,2.823529411764706,120
alpha0.150_beta0.900_barabasi_run9,0.15,0.9,barabasi,83,2.8433734939759034,119
alpha0.150_beta0.900_watts_run0,0.15,0.9,watts,72,3.125,120
alpha0.150_beta0.900_watts_run1,0.15,0.9,watts,88,2.9545454545454546,120
alpha0.150_beta0.900_watts_run2,0.15,0.9,watts,80,2.9875,120
alpha0.150_beta0.900_watts_run3,0.15,0.9,watts,88,2.7386363636363638,120
alpha0.150_beta0.900_watts_run4,0.15,0.9,watts,91,2.89010989010989,120
alpha0.150_beta0.900_watts_run5,0.15,0.9,watts,90,2.8444444444444446,120
alpha0.150_beta0.900_watts_run6,0.15,0.9,watts,74,3.189189189189189,120
alpha0.150_beta0.900_watts_run7,0.15,0.9,watts,87,2.8275862068965516,120
alpha0.150_beta0.900_watts_run8,0.15,0.9,watts,84,2.857142857142857,120
alpha0.150_beta0.900_watts_run9,0.15,0.9,watts,89,2.651685393258427,120
alpha0.150_beta1.200_barabasi_run0,0.15,1.2,barabasi,70,3.2285714285714286,120
alpha0.150_beta1.200_barabasi_run1,0.15,1.2,barabasi,88,2.909090909090909,120
alpha0.150_beta1.200_barabasi_run2,0.15,1.2,barabasi,80,2.975,120
alpha0.150_beta1.200_barabasi_run3,0.15,1.2,barabasi,88,2.7045454545454546,119
alpha0.150_beta1.200_barabasi_run4,0.15,1.2,barabasi,90,2.911111111111111,120
alpha0.150_beta1.200_barabasi_run5,0.15,1.2,barabasi,90,2.8555555555555556,120
alpha0.150_beta1.200_barabasi_run6,0.15,1.2,barabasi,77,3.0259740259740258,120
alpha0.150_beta1.200_barabasi_run7,0.15,1.2,barabasi,86,2.8372093023255816,120
alpha0.150_beta1.200_barabasi_run8,0.15,1.2,barabasi,87,2.7471264367816093,120
alpha0.150_beta1.200_barabasi_run9,0.15,1.2,barabasi,87,2.7126436781609193,120
alpha0.150_beta1.200_watts_run0,0.15,1.2,watts,70,3.2142857142857144,120
alpha0.150_beta1.200_watts_run1,0.15,1.2,watts,87,2.9770114942528734,120
alpha0.150_beta1.200_watts_run2,0.15,1.2,watts,79,3.0253164556962027,120
alpha0.150_beta1.200_watts_run3,0.15,1.2,watts,85,2.823529411764706,120
alpha0.150_beta1.200_watts_run4,0.15,1.2,watts,93,2.795698924731183,120
alpha0.150_beta1.200_watts_run5,0.15,1.2,watts,91,2.8131868131868134,120
alpha0.150_beta1.200_watts_run6,0.15,1.2,watts,76,3.0657894736842106,120
alpha0.150_beta1.200_watts_run7,0.15,1.2,watts,87,2.8275862068965516,120
alpha0.150_beta1.200_watts_run8,0.15,1.2,watts,83,2.855421686746988,120
alpha0.150_beta1.200_watts_run9,0.15,1.2,watts,87,2.7241379310344827,120
